epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5675195352784519,0.046616634514568184,0.17278838183345466,-0.010102263131933608,0.5785776566842507
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.43639947576769467,0.051674505342440356,0.24023952283735933,-0.007901875426639515,0.4466081790882966
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.37285427646390323,0.05651721284435741,0.2879142722692983,-0.006017467756590059,0.38286766923707105
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.3298893935721496,0.0525083670649549,0.31742471045461196,-0.005585575616790046,0.34046804288337973
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.2981047820428322,0.04274591100241604,0.3425423179207177,-0.004830805186366919,0.30807640840267314
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.276247156591251,0.03682960518475237,0.36200593771605655,-0.004826482067951944,0.2863773963060872
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.25641589380543806,0.033990807734943666,0.3795034047858468,-0.007708404027527712,0.26933476739916307
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.2387672154040172,0.032845279298208914,0.3894550271075347,-0.0028957906339702934,0.2483429847092464
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.22420389744742164,0.03166284691542387,0.4006382632872154,-0.004260705103786614,0.23541463192166953
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.21035143116424823,0.03018221483919127,0.40747484975847703,-0.0026105855812884643,0.22071280587336112
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.19739817288415185,0.028996724089414908,0.4148396962675555,-0.0029858544399632655,0.20847489016837087
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.1879079133786004,0.028025267838404096,0.4206633757928322,-0.0007705275292492246,0.1978435375053307
13,0.31402092534699766,0.0031402092534699765,-0.6859790746530023,0.17962677340055333,0.027008538327083505,0.42575487186168803,-0.0022750595104800344,0.19100562149080738
14,0.3363755443363323,0.003363755443363323,-0.6636244556636677,0.16906498655163008,0.02639433426846718,0.4295331445233575,-0.0031665694601574145,0.18148965465611425
15,0.35835739835078595,0.0035835739835078594,-0.641642601649214,0.16216149682114864,0.02581992681170332,0.43276289362331916,-0.005089789618444951,0.17623092234134674
16,0.379948962255225,0.0037994896225522503,-0.620051037744775,0.15373133611062478,0.025864238754428667,0.4357861198227981,-0.0013172955328502275,0.16603098514265027
17,0.401134284947946,0.00401134284947946,-0.598865715052054,0.14413644167883644,0.02410399123769382,0.4407026320695877,-0.0022683811646480724,0.1569316441128994
18,0.4218990052500078,0.004218990052500078,-0.5781009947499922,0.13843286422819928,0.023860041726509046,0.4433131921907951,-0.0019675912586410113,0.15150719341532937
19,0.44223035604572614,0.004422303560457261,-0.5577696439542739,0.1378977662273522,0.023335175139122998,0.4456918917853257,-0.002118817520160268,0.15137008410589448
20,0.4621171572600098,0.004621171572600098,-0.5378828427399902,0.1271826858664381,0.023071342725949042,0.44669245800067636,-0.004483933731597941,0.1423204232906473
21,0.481549798364308,0.00481549798364308,-0.518450201635692,0.12142530713101914,0.022900544845595443,0.44966593590275994,-0.0033780184136864184,0.13636975876730065
22,0.5005202111902354,0.005005202111902354,-0.4994797888097646,0.11206538962392971,0.02256715978527891,0.45162151856669064,-0.0024293076140597335,0.12683455658883885
23,0.519021833898222,0.00519021833898222,-0.480978166101778,0.11406478247252004,0.022099704128401034,0.4537229774327114,0.0006504358782970892,0.12757708813095914
24,0.5370495669980351,0.005370495669980351,-0.4629504330019649,0.11107562238286281,0.021994000654025323,0.45533864713948347,-0.003365156362696294,0.12689078599214554
25,0.5545997223493822,0.005545997223493821,-0.44540027765061785,0.10391714308282425,0.02228502852135691,0.45640382427593756,-0.006986308962323478,0.12191933162253478
26,0.5716699660851172,0.005716699660851172,-0.4283300339148828,0.09936605278274109,0.02168297806176646,0.4584093088733739,-0.0018273445552793042,0.11516485671544897
27,0.5882592563981055,0.005882592563981055,-0.4117407436018945,0.09551620277865179,0.021711533343226744,0.45984239773503666,-0.004814828412330324,0.112975740227206
28,0.6043677771171636,0.006043677771171636,-0.3956322228828364,0.09142289028085511,0.021101881396667712,0.46313085843776836,-0.0017647371914163473,0.10767338951600008
29,0.6199968679693741,0.0061999686796937415,-0.38000313203062586,0.09011922616126208,0.021074125189976447,0.46434520904360144,0.00014278736313732727,0.10600978444362509
30,0.6351489523872873,0.006351489523872873,-0.3648510476127127,0.08702868518644366,0.021018341215776986,0.46504106655203065,-0.0008270651968155891,0.10363392133651109
31,0.6498274636719203,0.0064982746367192035,-0.35017253632807965,0.08095590750975855,0.020501018822963894,0.4662511554257623,-0.0002961453571734982,0.09741156342728384
32,0.6640367702678489,0.0066403677026784895,-0.3359632297321511,0.07645570602396438,0.019883262443131412,0.466516791232701,0.005770398917053987,0.09081812491961594
33,0.6777821008468294,0.0067778210084682945,-0.32221789915317056,0.0775419768459838,0.020413293663797707,0.46836387134831525,-0.004710274703092151,0.09606996319931128
34,0.6910694698329305,0.006910694698329305,-0.3089305301670695,0.07892577915356078,0.019895619825170987,0.46893413107970666,-8.22054880700307e-05,0.0959410914059343
35,0.7039056039366212,0.007039056039366212,-0.29609439606337884,0.07033612566261456,0.01992838128052395,0.4692165409696513,0.0011324061666402548,0.08733136707852626
36,0.7162978701990246,0.007162978701990246,-0.2837021298009754,0.07027924125050676,0.019811033785086255,0.47111992332442054,-0.002080271679883951,0.08843464218080044
37,0.7282542059818116,0.007282542059818115,-0.27174579401818844,0.06809270407619147,0.019504285321153444,0.47159582530630045,0.00022972904794030534,0.08566877001832271
38,0.7397830512740042,0.0073978305127400425,-0.26021694872599577,0.07355258446829073,0.019387124571949244,0.47240011034340695,-0.004081360217994721,0.09245162547148507
39,0.7508932836251672,0.0075089328362516715,-0.24910671637483284,0.06324023669906731,0.019285241816321325,0.47210883888705024,-0.0008036658536153043,0.08146662746780906
