epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5715570912278932,0.06013225141013491,0.16492989466621957,-0.009745595912481177,0.582603316882561
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.4473649217136975,0.052911998768304956,0.2375102585245823,-0.015232841387904924,0.46459880830912753
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.38859688876004056,0.05471604879431684,0.2800817546145669,-0.009887088025952208,0.40204952759989376
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.35016099851706933,0.05171003594095337,0.307502914348553,-0.006157626173105733,0.361165218825998
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.3242799300571968,0.05033013526478718,0.33606876587045603,-0.00764343592113462,0.33764949800639316
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.2995031352700858,0.04265925689632523,0.3484216034412384,-0.005022922980374303,0.31064829487225104
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.2745323933917901,0.039918801522460474,0.3712186325213005,-0.006187408841375647,0.28720634995863353
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.2588524756760433,0.039751338001726005,0.37993354324636786,-0.004222946498414566,0.270837744505241
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.2417333442075499,0.03706834914869275,0.39327533440343265,-0.006196002764948483,0.2556309651198058
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.22624187582525715,0.03513311992945342,0.4006373440397197,-0.008134534839412262,0.24197010670242639
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.21099161690679089,0.031992250314817346,0.40975948500222176,-0.002408010756661152,0.222435492379912
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.20301079338994518,0.03115682846641746,0.417479587526157,-0.003335748638572364,0.2156673459143474
13,0.31402092534699766,0.0031402092534699765,-0.6859790746530023,0.1861486391260706,0.030860410232482285,0.42440534871200036,-0.0034454076968390367,0.19953565325202613
14,0.3363755443363323,0.003363755443363323,-0.6636244556636677,0.18538622635191884,0.02993025126513736,0.4280578401581994,-0.0007423294130070456,0.1973865420140069
15,0.35835739835078595,0.0035835739835078594,-0.641642601649214,0.16402666694645224,0.027372559821554298,0.4378457233823579,-0.00283011293102955,0.17722080108420601
16,0.379948962255225,0.0037994896225522503,-0.620051037744775,0.1563324207632706,0.02787778796306972,0.44208910701603726,-0.001287753019353439,0.1694027423087893
17,0.401134284947946,0.00401134284947946,-0.598865715052054,0.14758134928756747,0.026518424876548093,0.4477676045278023,0.0061298696131541815,0.15634397892602558
18,0.4218990052500078,0.004218990052500078,-0.5781009947499922,0.14142370853444625,0.025991637420294613,0.4543961363619772,-0.0006672704014284857,0.15469239703540144
19,0.44223035604572614,0.004422303560457261,-0.5577696439542739,0.13050105037360354,0.024596943873269803,0.45493270713707495,-0.0021223464402659186,0.14457419733035154
20,0.4621171572600098,0.004621171572600098,-0.5378828427399902,0.12612716365477133,0.024362890627877467,0.4603283641667202,-0.0016535015712524283,0.14040231974474315
21,0.481549798364308,0.00481549798364308,-0.518450201635692,0.12127123490489762,0.02525763049850176,0.46241015658296386,0.0016055603607975203,0.13482837443207873
22,0.5005202111902354,0.005005202111902354,-0.4994797888097646,0.11356078692037484,0.02429679627048558,0.46213505905250024,0.003419386287187708,0.12632698925404712
23,0.519021833898222,0.00519021833898222,-0.480978166101778,0.10844740226607898,0.023139787099227822,0.46821977814723703,0.0037141254749791376,0.12110120636121981
24,0.5370495669980351,0.005370495669980351,-0.4629504330019649,0.10852486036460975,0.023264128008279306,0.469116249988819,-0.002778747986102926,0.12482466034848115
25,0.5545997223493822,0.005545997223493821,-0.44540027765061785,0.0990039164136196,0.02304337854529249,0.4718392301222374,-7.096992741371023e-05,0.11443219693570301
26,0.5716699660851172,0.005716699660851172,-0.4283300339148828,0.09770534245361542,0.022814167454710294,0.47417646184049805,0.004136916956511037,0.11168627633616843
27,0.5882592563981055,0.005882592563981055,-0.4117407436018945,0.08470170052144034,0.022530520655985535,0.47464146439371435,0.0005769479762891244,0.10051005751151464
28,0.6043677771171636,0.006043677771171636,-0.3956322228828364,0.08501626538305447,0.022126967601221185,0.47917242245427494,0.002826149029464557,0.10016693926319994
29,0.6199968679693741,0.0061999686796937415,-0.38000313203062586,0.0796622244705414,0.02157664798392818,0.4798240492056156,0.007554224531712203,0.09314394388990156
30,0.6351489523872873,0.006351489523872873,-0.3648510476127127,0.08317457081685806,0.02148943895409847,0.48059761370050497,0.012856642940434915,0.09518531626411553
31,0.6498274636719203,0.0064982746367192035,-0.35017253632807965,0.07943878065923164,0.021309295476510608,0.47946552264279335,0.005561308036076611,0.09445442863065621
32,0.6640367702678489,0.0066403677026784895,-0.3359632297321511,0.08857379924377491,0.02163140591362427,0.4832771723640376,0.0008465581541431362,0.1058625736884002
33,0.6777821008468294,0.0067778210084682945,-0.32221789915317056,0.07025537132446108,0.021103327836969804,0.48274278229680556,0.007690199490251212,0.08535285364707997
