epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5214209936816117,0.06949021153408906,0.22122105095407057,-0.008526243267436352,0.5315263117181843
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.3718595155354204,0.05368732465109948,0.36552595527007664,-0.014965124983252186,0.3889417499303818
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.2999900946843213,0.04982291406084751,0.4100503844433817,-0.012803120002178635,0.31587146813499517
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.2534962275932575,0.03870019043699421,0.45670456670481585,-0.009371421173423657,0.26624597531968147
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.2226952743427507,0.04165918919546851,0.47710565092234775,-0.00449775524687319,0.23240746069571067
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.18774809251571523,0.032727075869153285,0.5043236484815334,-0.0032022632259558403,0.19609702121594857
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.17660771862700067,0.02855230257685842,0.5107193599487173,-0.0016002996748409651,0.1837617970746139
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.1512482550380559,0.02841962363314012,0.5161719332481253,-0.0002705907099880278,0.15809356588227996
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.14209407657898707,0.026400314098031355,0.5365511959996717,0.005872285096898097,0.14455029663854632
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.14125318786707416,0.029145970940589905,0.5345846964367504,0.00909324977516823,0.1428347348139204
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.12784916457944903,0.028278772044798423,0.5396976429840614,0.00752654464831094,0.13137600872794103
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.10935648517875836,0.025004135701676894,0.5458865926183504,0.008890450494524476,0.11193019125995965
13,0.31402092534699766,0.0031402092534699765,-0.6859790746530023,0.09964704192404089,0.025733704486026847,0.5470246559587019,0.005493837935601136,0.10567707863861117
14,0.3363755443363323,0.003363755443363323,-0.6636244556636677,0.09594065419815738,0.024046695181008042,0.5545774544107502,0.010199660676178234,0.0991260925757474
15,0.35835739835078595,0.0035835739835078594,-0.641642601649214,0.07310000691434433,0.023841931725498932,0.5575323649521532,0.013686176293112081,0.07486026361584663
16,0.379948962255225,0.0037994896225522503,-0.620051037744775,0.08630011282090483,0.025928063992539357,0.566278306574657,0.013650904447723437,0.08983876507986209
17,0.401134284947946,0.00401134284947946,-0.598865715052054,0.09022473107124197,0.02620978791523596,0.5650133110325912,0.015382758510174331,0.09379263080913446
18,0.4218990052500078,0.004218990052500078,-0.5781009947499922,0.06360181812839262,0.02472684808589261,0.5730852474426401,0.02084363580797799,0.06440216553365362
19,0.44223035604572614,0.004422303560457261,-0.5577696439542739,0.05641209790161971,0.022120009722380804,0.5753957968333672,0.018820795075388842,0.05824114375844084
20,0.4621171572600098,0.004621171572600098,-0.5378828427399902,0.06368179034827084,0.02504489619027952,0.5738326228898147,0.019899068368149215,0.06720387794334313
21,0.481549798364308,0.00481549798364308,-0.518450201635692,0.07483110046977627,0.02583424697212618,0.5815690529757532,0.023210305273974444,0.07803873438388109
22,0.5005202111902354,0.005005202111902354,-0.4994797888097646,0.049882681012667456,0.023050697921807396,0.5835752476905954,0.01850524103943387,0.0550979393181102
23,0.519021833898222,0.00519021833898222,-0.480978166101778,0.04342559281865071,0.022285272768730748,0.5855043252994274,0.02995125868092773,0.0436251294349545
24,0.5370495669980351,0.005370495669980351,-0.4629504330019649,0.0422845231047992,0.022086610343178797,0.5870427016554207,0.023577984862013495,0.0463833997090315
25,0.5545997223493822,0.005545997223493821,-0.44540027765061785,0.048227033449401116,0.022805189489033716,0.5913058180233528,0.021814260899755654,0.05443808744693625
26,0.5716699660851172,0.005716699660851172,-0.4283300339148828,0.0475765323940793,0.023603501055261183,0.585380864554438,0.025083767244158763,0.053672261921496225
27,0.5882592563981055,0.005882592563981055,-0.4117407436018945,0.04473884349110825,0.023333531563523514,0.5874232197629994,0.02140613354151418,0.053106804153528704
28,0.6043677771171636,0.006043677771171636,-0.3956322228828364,0.050317387433786845,0.022910856754230016,0.5875491777370716,0.025957089118209892,0.05744546854162011
29,0.6199968679693741,0.0061999686796937415,-0.38000313203062586,0.03576190971994195,0.02181273838505149,0.5892544368217731,0.028028374585997443,0.0422882279381156
30,0.6351489523872873,0.006351489523872873,-0.3648510476127127,0.03543027077705182,0.020746859770011287,0.5924171353208607,0.03279349932463133,0.04040560476353456
31,0.6498274636719203,0.0064982746367192035,-0.35017253632807965,0.05078680553184501,0.02280492512188081,0.5923692995104296,0.03329443176855797,0.057796654933742406
