epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5575059230985313,0.03541734772894917,0.1882054232831659,-0.008733848845465752,0.5669537623380793
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.4259595886386674,0.031205932930882634,0.2661402335968511,-0.010765760124396083,0.43787946834646424
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.36437375483841733,0.03358289336079154,0.30710432550002786,-0.007825622207621626,0.3743574547356573
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.32528109797115984,0.03475392404301413,0.33408834605381404,-0.005710626057720972,0.3342193904621848
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.2978439911686141,0.037111995324235536,0.35469374163397427,-0.004657834548511189,0.3069786712013442
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.27304220122509987,0.037839912713087835,0.36951068352008687,-0.004486418218785447,0.2830446023365547
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.25179985653737497,0.03440566505466042,0.3806963311187152,-0.002975793636919818,0.26087991045466785
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.23903607243093952,0.03291393424673327,0.39436660552846975,-0.0012013659948495153,0.24727509813062076
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.22501743559179635,0.031256390157444726,0.4039613640513913,-0.00471914927289492,0.23650258702450785
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.21369715343261586,0.03084999149472549,0.41062690882847225,0.0001261044541526393,0.22216337276943798
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.20454035981975752,0.029136260842968678,0.416857798551691,-0.0026638134839796013,0.21542427688837051
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.19136687445229497,0.02766539047247377,0.4213194292167137,-0.0001482762040566364,0.20075858949587264
13,0.31402092534699766,0.0031402092534699765,-0.6859790746530023,0.17946642328952922,0.028568938470863062,0.4250803980334052,-0.001708245932102978,0.19094433044565134
14,0.3363755443363323,0.003363755443363323,-0.6636244556636677,0.17469964638866228,0.02711663661717341,0.43019458446009406,0.00018988423609447763,0.1851420759640891
15,0.35835739835078595,0.0035835739835078594,-0.641642601649214,0.16723087841066822,0.026419061717802082,0.4334874800566969,-0.00468052353645707,0.18125500298779587
16,0.379948962255225,0.0037994896225522503,-0.620051037744775,0.15963756755508227,0.025119215571160973,0.4354823087823802,-0.0032043228315285824,0.17282304373280755
17,0.401134284947946,0.00401134284947946,-0.598865715052054,0.1521695351292347,0.02531628159741903,0.44000098623078443,-0.002756785395643513,0.16574070191588894
18,0.4218990052500078,0.004218990052500078,-0.5781009947499922,0.14475429456295638,0.024573500685650725,0.4411461872273478,-0.0027874440269881925,0.15859444439411163
19,0.44223035604572614,0.004422303560457261,-0.5577696439542739,0.13690614392017497,0.02414598999994582,0.4452054027853341,-0.0003191492975129849,0.14973107853840137
20,0.4621171572600098,0.004621171572600098,-0.5378828427399902,0.12994386281432777,0.024813456107573264,0.4478819950901229,0.0017346873090869409,0.14254726572283383
21,0.481549798364308,0.00481549798364308,-0.518450201635692,0.12655678250152488,0.02419280675079288,0.4497843287114439,-0.0021821087261898733,0.1415040729374721
22,0.5005202111902354,0.005005202111902354,-0.4994797888097646,0.1273287295781333,0.023611318063119363,0.4512051184629572,-0.0021865075325657583,0.14249716223827724
23,0.519021833898222,0.00519021833898222,-0.480978166101778,0.11877076302109094,0.023284773824029957,0.45334858575771597,-0.001899723694679841,0.13412277156422878
24,0.5370495669980351,0.005370495669980351,-0.4629504330019649,0.11357696367235019,0.02321585906862185,0.45536750452271824,0.0016931711368921116,0.1277067256641799
25,0.5545997223493822,0.005545997223493821,-0.44540027765061785,0.10672197208322327,0.022690440688667626,0.4567411855377,0.000895675203506032,0.12144023449770336
26,0.5716699660851172,0.005716699660851172,-0.4283300339148828,0.10418255267472103,0.022605588595414984,0.4580184827590811,0.00036183372102296463,0.1195688590664288
