epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5861265900833853,0.039821896348790874,0.16003846492746782,-0.01054842864787447,0.5974467037052944
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.45587312455835016,0.03202148289259138,0.24509158447898668,-0.013594269257110086,0.4705104360292698
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.39415625662639225,0.035914949944307065,0.29158969429032555,-0.009586580126779154,0.40593205340977373
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.3568184267857979,0.037203514209852136,0.3207391022608198,-0.011687487681950283,0.3713687180445112
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.3256880373790346,0.04171920969183075,0.3396420540480778,-0.007040965722087,0.33746370313496427
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.2984476998962205,0.03949773844716878,0.3581715714314888,-0.0049889988385357666,0.30910779638537045
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.28013526673974665,0.03705832535593674,0.3720024808727462,-0.005565715113789338,0.29180104927770023
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.2643260277550796,0.03675771376182293,0.38152442307307805,-0.0042583333521053705,0.27575197481903535
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.24006866458161125,0.03417760824206574,0.39042251223120195,-0.005798018345777909,0.2530103947581916
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.22870308109398546,0.03129646885369358,0.39900598597937614,-0.00774936016863774,0.24319680600330748
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.2180708600529309,0.03178984212592758,0.40618349457609243,-0.002880352701799109,0.2297964689546618
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.2074200832124414,0.031593300787539316,0.4120631053529937,-0.009951716527776343,0.22487665687141747
