epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5447000742986284,0.03999189297058459,0.17229132611176062,-0.01493610737138781,0.560305513184646
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.42528659259450846,0.029814830178330684,0.2501816942260183,-0.026188085305279697,0.45178085308650445
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.37614252752271193,0.030616930525364548,0.2939832678128933,-0.025587917016497975,0.4023269897904889
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.3326470435693346,0.03417041849601885,0.3181117572661104,-0.023400695801808917,0.3574381912576741
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.30214448915473346,0.033759481241476944,0.34634129497511634,-0.021649198799297727,0.3257303240484205
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.2720775288240663,0.03464495313578639,0.36186362134999245,-0.01847065227298901,0.293495052847369
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.2536416642110923,0.0340737353303823,0.38103787806527367,-0.014842195372129309,0.2724755285628911
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.22878444143410387,0.030925158154347848,0.3933873202266364,-0.020501019368911612,0.2521193780261895
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.21317647577359758,0.031237139623483706,0.415530513072836,-0.011527929069667027,0.22998510506646386
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.19267400533988557,0.029580543813263548,0.42383089661598206,-0.012119654694507861,0.21010819745474849
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.17763368245856515,0.030692432653801196,0.43189217920961054,-0.01288695016811634,0.1964559722049483
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.16520286055988279,0.02948547167510822,0.4373640063507804,-0.01417504135390808,0.1851121187210083
13,0.31402092534699766,0.0031402092534699765,-0.6859790746530023,0.15155724590194636,0.029549742888273865,0.4501629502608858,-0.010508234773216576,0.16945851838280415
14,0.3363755443363323,0.003363755443363323,-0.6636244556636677,0.14130390396919743,0.02658822246152779,0.45110574878495313,-0.012386191636323929,0.15998472054970675
15,0.35835739835078595,0.0035835739835078594,-0.641642601649214,0.13502947074072114,0.028608110604871964,0.465346094349335,-0.004705649704254907,0.14996834728738356
16,0.379948962255225,0.0037994896225522503,-0.620051037744775,0.12844021965203614,0.028114549558738183,0.46559624425296126,-0.008934670995021689,0.14643129417351608
17,0.401134284947946,0.00401134284947946,-0.598865715052054,0.10649668245479979,0.02806145919422651,0.47080159084550266,-0.0022706916106158288,0.12100147944072197
18,0.4218990052500078,0.004218990052500078,-0.5781009947499922,0.10752900863259003,0.02720584222597295,0.46722668666264106,-0.015109861976113814,0.12971337614902134
19,0.44223035604572614,0.004422303560457261,-0.5577696439542739,0.09932345685003133,0.02700545256636266,0.4749982053863591,-0.008645324871457857,0.11818877382781999
20,0.4621171572600098,0.004621171572600098,-0.5378828427399902,0.09381820839540712,0.0258976392255261,0.48603138738665086,-0.0060660923863279405,0.11129483471399751
21,0.481549798364308,0.00481549798364308,-0.518450201635692,0.0945650612100445,0.026067208723518354,0.4826644530584072,0.0005380061679872973,0.10916306027050676
22,0.5005202111902354,0.005005202111902354,-0.4994797888097646,0.0901025932539126,0.025124806621722107,0.4889415769741453,-0.005747927417015207,0.10799629119192732
23,0.519021833898222,0.00519021833898222,-0.480978166101778,0.07665532641112804,0.025666970181567914,0.4821187339980027,-0.009290656139110696,0.0969479491869951
24,0.5370495669980351,0.005370495669980351,-0.4629504330019649,0.06804406614010704,0.02464040455504738,0.4910686195924364,-0.0021135804468187793,0.08489295108051136
25,0.5545997223493822,0.005545997223493821,-0.44540027765061785,0.07822839703796239,0.024405656446670664,0.4902620479978364,-0.006286228396769227,0.09728264693042328
26,0.5716699660851172,0.005716699660851172,-0.4283300339148828,0.06823969776902733,0.023153132566347205,0.4931691252979739,-0.005110490424879666,0.08648392570943668
27,0.5882592563981055,0.005882592563981055,-0.4117407436018945,0.061255818746727086,0.02309806612801963,0.5010567302333897,0.0028096493975869542,0.07663413554686925
28,0.6043677771171636,0.006043677771171636,-0.3956322228828364,0.0645367999336329,0.0233806691871121,0.4960682150618783,-0.014171298721740985,0.08727202140565576
29,0.6199968679693741,0.0061999686796937415,-0.38000313203062586,0.05614396393427561,0.02340801127640338,0.4990967933473916,-0.00878318193657645,0.0770888783294579
30,0.6351489523872873,0.006351489523872873,-0.3648510476127127,0.044755153518555496,0.02231204962550566,0.5011731072746474,0.0028299429807169684,0.06107731635585941
31,0.6498274636719203,0.0064982746367192035,-0.35017253632807965,0.037150268491100646,0.022414681116311716,0.5007071993474302,-0.004073235238420552,0.05639601286886067
32,0.6640367702678489,0.0066403677026784895,-0.3359632297321511,0.04318857433852451,0.020739077991838085,0.5009335675116243,-0.017623366081509096,0.0662072701058511
33,0.6777821008468294,0.0067778210084682945,-0.32221789915317056,0.04262045138226501,0.021131942112898004,0.4975829175833998,-0.003534167876531338,0.061454603416395595
34,0.6910694698329305,0.006910694698329305,-0.3089305301670695,0.04580492940570774,0.02188549466944974,0.5040441638436811,-0.0036356298831002466,0.0655357791432019
35,0.7039056039366212,0.007039056039366212,-0.29609439606337884,0.039736240347526194,0.021472211413342376,0.5037922977373518,-0.013006107432061228,0.062247907389597644
36,0.7162978701990246,0.007162978701990246,-0.2837021298009754,0.032965670516393306,0.02141995628460728,0.5035016983747482,-0.009209364652633667,0.05452802790136173
37,0.7282542059818116,0.007282542059818115,-0.27174579401818844,0.043646715388729655,0.022038693716428404,0.49925605695823144,-0.018166268180156576,0.06826894672523284
38,0.7397830512740042,0.0073978305127400425,-0.26021694872599577,0.043643985425346886,0.020615035202354193,0.5032125552152765,-0.008256454919946605,0.06476578948184333
39,0.7508932836251672,0.0075089328362516715,-0.24910671637483284,0.0391046112595961,0.020193964788882898,0.5045902816386059,-0.006461777178377941,0.059666730431390216
40,0.7615941559557646,0.007615941559557646,-0.23840584404423537,0.03938414369998821,0.0198665174077554,0.49665190022567224,-0.019931810940134114,0.06304869935687246
41,0.7718952374404182,0.007718952374404182,-0.2281047625595818,0.032945633159372316,0.018940407590105617,0.48674827608568916,-0.006897007211528975,0.05289607035831131
42,0.7818063576087741,0.007818063576087742,-0.21819364239122585,0.033239163699206604,0.0201221934905083,0.4926904686566057,-0.0172168311887774,0.056579311410414765
43,0.7913375537619973,0.007913375537619973,-0.20866244623800267,0.03156353371089388,0.0190565820687033,0.4974983812406145,-0.01903282606910015,0.05455205037162222
44,0.8004990217606296,0.008004990217606296,-0.1995009782393704,0.030506152017363185,0.019067391175134427,0.4994628958660981,-0.005032668211336793,0.05077179739701337
45,0.8093010702017811,0.008093010702017811,-0.1906989297982189,0.02906126027991032,0.018691996626299005,0.49147483860624247,-0.006588108709146236,0.049422569958300425
46,0.8177540779702877,0.008177540779702876,-0.18224592202971235,0.041008559039569105,0.018810470941765554,0.4892737865447998,-0.005668551115126446,0.061425025960237814
47,0.8258684551194573,0.008258684551194573,-0.17413154488054272,0.029306160591157347,0.01866551641182139,0.4918605351242526,-0.000357325863221596,0.048845763125553214
48,0.8336546070121553,0.008336546070121553,-0.16634539298784468,0.03162702154528735,0.018291295168857122,0.4940707642456581,-0.013865247882645705,0.05330090730547391
49,0.8411229016320432,0.008411229016320432,-0.15887709836795683,0.0321798954191136,0.01838965508444556,0.4895798461190585,-0.01448288636988607,0.054066823169203665
50,0.8482836399575131,0.00848283639957513,-0.1517163600424869,0.02542371962797539,0.017566498802525216,0.48538348592560865,-0.01594123424127184,0.04686106831349175
51,0.8551470292769645,0.008551470292769646,-0.1448529707230355,0.019337748081005853,0.017148764386516194,0.49194662375696774,-0.018764192302679193,0.040927378637395026
52,0.8617231593133066,0.008617231593133066,-0.13827684068669344,0.019409571894733555,0.0175579267489756,0.4882963155878001,-0.019267197312979864,0.041411613772526897
53,0.8680219810175624,0.008680219810175624,-0.13197801898243755,0.01803653948169587,0.016912340106249882,0.4878162721107746,-0.010165877383330772,0.03829284714021046
54,0.874053287886007,0.00874053287886007,-0.125946712113993,0.05299771042412211,0.01758428346686836,0.48336739992273264,-0.003543114610787096,0.07303844411568396
55,0.8798266996519848,0.008798266996519848,-0.12017330034801521,0.04064294798620816,0.017763348601373106,0.4771954057545498,-0.0025851560820793285,0.06078077589386496
56,0.8853516482022625,0.008853516482022625,-0.11464835179773747,0.02263200469315052,0.01614057972770313,0.4784513059361228,-0.017965540546795417,0.04321778986346105
57,0.8906373655681183,0.008906373655681183,-0.10936263443188166,0.022497890990805524,0.016248065127252506,0.48806971568485785,-0.019735404900435745,0.04347427173292842
58,0.8956928738431646,0.008956928738431647,-0.10430712615683535,0.01914612500896228,0.01655084021582172,0.48729414775453767,-0.013622424854286786,0.039756169510555675
59,0.9005269768828863,0.009005269768828863,-0.0994730231171137,0.015347120817750692,0.016304685557582254,0.48727873121869975,-0.02902244763641522,0.03730495758996955
60,0.9051482536448667,0.009051482536448668,-0.09485174635513327,0.021044362272168028,0.015362013613098654,0.4861217634431247,-0.018492176871875238,0.041103399808293785
61,0.9095650530334249,0.009095650530334249,-0.09043494696657506,0.022459815055581516,0.015094726426719591,0.48433299259892826,-0.022489247137102587,0.04262858786588085
62,0.9137854901178277,0.009137854901178277,-0.08621450988217227,0.034812759905090106,0.015384327411523154,0.48671180420908433,-0.008938275919906024,0.054088846427099456
63,0.91781744359907,0.009178174435990701,-0.08218255640092997,0.026658627228682924,0.015978274208589875,0.48367160455933933,-0.002388275517471905,0.04595926240215014
64,0.9216685544064713,0.009216685544064714,-0.07833144559352867,0.026954514119003355,0.015374724881659294,0.48494444479202403,0.004848543040711304,0.04521470128333774
65,0.9253462253117413,0.009253462253117413,-0.07465377468825873,0.02590081379909454,0.015121959005321923,0.4756811502678641,-0.009185714968319597,0.04498130645089109
66,0.9288576214547277,0.009288576214547277,-0.07114237854527228,0.03234702677883465,0.015054050351268259,0.4666286254751271,-0.010171305259753918,0.05138802293944975
67,0.9322096716816437,0.009322096716816436,-0.0677903283183563,0.021824705699490833,0.014900807612415018,0.47203957828982124,0.011287083014332015,0.03935062581801723
68,0.9354090706030991,0.009354090706030991,-0.06459092939690092,0.018731787772688628,0.015022101410632503,0.480641334735114,0.004522850030455096,0.0369874250850287
69,0.938462281285704,0.009384622812857039,-0.06153771871429603,0.014125090670482865,0.01482675929457463,0.4651418086783639,-0.02350999337845835,0.03385137634929912
70,0.9413755384972873,0.009413755384972872,-0.05862446150271272,0.012561453646851769,0.014353883388484347,0.46693088679478084,-0.014052963847744054,0.03129326902201463
71,0.9441548524318542,0.009441548524318541,-0.05584514756814585,0.012799914577044547,0.014455909503559614,0.4661858683002406,-0.017821351644294017,0.03184528440108587
72,0.9468060128462681,0.00946806012846268,-0.053193987153731914,0.008950976436106681,0.014267617643907153,0.46267198488630096,-0.02795051410794258,0.028327047664286762
73,0.9493345935462567,0.009493345935462567,-0.05066540645374329,0.010464183169272568,0.013602773707103112,0.46442440511851474,-0.02321165144957345,0.02896273622674675
74,0.9517459571646616,0.009517459571646616,-0.04825404283533841,0.00883225229737381,0.014141530312340835,0.45771826187084463,-0.022364085475946295,0.02772686958056072
75,0.9540452601799487,0.009540452601799487,-0.04595473982005127,0.013957615887569585,0.013071130190430016,0.4513057526843301,-0.032334258587195956,0.03221963891952202
76,0.9562374581277389,0.00956237458127739,-0.04376254187226114,0.022574702374123293,0.013277283339793312,0.4469934660812904,-0.030615840621035676,0.04088508389119444
77,0.9583273109626391,0.009583273109626391,-0.04167268903736088,0.022264862184187974,0.01313241259676629,0.45314651419376506,-0.02383476392976169,0.04018589709724846
78,0.9603193885318451,0.00960319388531845,-0.039680611468154936,0.017897790065035224,0.013452890505693081,0.4578631987859463,-0.02129458931499514,0.036058793085273995
79,0.9622180761259218,0.009622180761259218,-0.037781923874078194,0.015908511323404723,0.012945602342871756,0.4634591680148552,-0.03342662918670424,0.03408741469270196
80,0.9640275800758169,0.009640275800758168,-0.0359724199241831,0.025571130842355818,0.012900992938927535,0.4556257241758807,-0.03916098382966272,0.04380911627206309
81,0.9657519333685447,0.009657519333685447,-0.0342480666314553,0.03597467094017514,0.013065595404598219,0.45515829478872233,-0.022283300372033285,0.05375165534045162
82,0.9673950012571182,0.009673950012571183,-0.03260499874288181,0.036435827058900534,0.013052655014626938,0.45220353839726285,-0.02369004783445391,0.05420990895223001
83,0.9689604868431823,0.009689604868431822,-0.031039513156817744,0.04270036182173624,0.012976343133326235,0.45562452386165486,-0.012034658342599869,0.06006229697758782
84,0.9704519366134539,0.00970451936613454,-0.02954806338654614,0.02309925455182534,0.012537405858265942,0.4501045695666609,-0.012478879042740526,0.04000297981988767
85,0.9718727459135088,0.009718727459135088,-0.028127254086491194,0.020734956845287877,0.012157191618763167,0.4427152846393914,-0.026940425922130716,0.03761058965505197
86,0.9732261643446702,0.009732261643446703,-0.02677383565532976,0.012426873596770496,0.012125570086184246,0.4357248292914752,-0.03714120413722663,0.029462796154207195
87,0.9745153010717769,0.009745153010717768,-0.025484698928223137,0.010089668338909617,0.011745896591837036,0.43029109619814776,-0.04054782218460379,0.0267628258062077
88,0.9757431300314514,0.009757431300314513,-0.02425686996854859,0.013717271327362236,0.011910074791903126,0.4358897424977401,-0.04231698027458684,0.030618086553596217
89,0.9769124950321555,0.009769124950321555,-0.023087504967844508,0.009202153243301115,0.011549353101772481,0.4370196045472704,-0.032607452365858804,0.02550698447458703
90,0.9780261147388136,0.009780261147388137,-0.021973885261186377,0.006826703681546296,0.011331103645778936,0.4335485681377608,-0.03346981455026002,0.022884498767811675
